Ticker,Short Name,Retained,AZS,Level 3 Derivatives,5Y CDS,Net Interest Margin,Debt/Equity,Financial Leverage,Shareholders Equity,Total Assets,Loan To Deposit ratio,Total Debt,AFS Securities,HQLA,CET1,Risk Weighted Assets,OPM LF,Charge-off ratio
MOBB RM,MOSKOVSKII OBLAS,-7.12B,N.A,N.A,N.A,0.39%,N.A,N.A,-16.64B,400.49B,251.73%,237.17B,5.84B,0.00,N.A,N.A,N.A,N.A
JYSK DC,JYSKE BANK-REG,31.47B,N.A,0.00,N.A,0.92%,1240.18%,20.36,35.71B,649.74B,350.44%,442.87B,N.A,0.00,17.40,181.45B,49.19%,N.A
CAM SM,CAJA AHOR DEL ME,-2.71B,N.A,N.A,124.85,0.77%,1178.06%,61.01,2.47B,70.80B,141.99%,29.13B,10.18B,0.00,N.A,N.A,-308.34%,N.A
TATF RU,TATFONDBANK PJSC,-9.45B,N.A,N.A,N.A,N.A,1155.24%,37.68,4.83B,199.69B,107.53%,55.76B,N.A,0.00,N.A,N.A,-109.52%,N.A
SHBA SS,SVENSKA HAN-A,134.86B,N.A,69.00,40.75,1.31%,985.15%,19.84,159.83B,3.07T,204.57%,1.57T,N.A,0.00,18.50,716.45B,47.80%,0.02%
DANSKE DC,DANSKE BANK A/S,141.50B,N.A,N.A,69.02,1.02%,977.73%,25.13,170.51B,3.76T,190.79%,1.67T,N.A,0.00,17.10,767.18B,8.72%,0.10%
BNB BB,BANQ NATL BELGIQ,745.56M,N.A,N.A,N.A,N.A,769.68%,26.97,6.87B,186.54B,N.A,52.87B,N.A,0.00,N.A,N.A,65.58%,N.A
NDA SS,NORDEA BANK ABP,27.67B,N.A,1.36k,40.88,0.96%,755.36%,18.86,31.53B,554.85B,183.87%,238.15B,N.A,0.00,16.30,150.22B,39.83%,0.19%
SWEDA SS,SWEDBANK AB-A,94.06B,N.A,N.A,47.10,1.32%,723.16%,18.05,138.63B,2.41T,169.01%,1.00T,N.A,0.00,17.00,649.24B,38.05%,0.08%
SEBA SS,SEB AB-A,130.35B,N.A,478.00,41.46,0.93%,639.50%,19.56,155.70B,2.86T,143.59%,995.70B,N.A,0.00,17.60,745.64B,45.81%,0.00%
SVEG NO,SPAREBANKEN VEST,0.00,N.A,N.A,N.A,1.67%,580.71%,12.80,16.90B,197.17B,213.20%,98.16B,N.A,0.00,N.A,80.63B,55.44%,0.22%
CBK GR,COMMERZBANK,9.40B,N.A,3.50k,74.96,1.33%,557.97%,17.19,29.60B,463.64B,109.87%,171.15B,N.A,0.00,13.40,181.76B,5.61%,N.A
BMPS IM,BANCA MONTE DEI,-1.03B,N.A,N.A,375.58,1.26%,536.04%,14.89,8.28B,132.20B,122.32%,44.39B,N.A,0.00,12.70,58.60B,-2.08%,N.A
ABN NA,ABN AMRO BANK-CV,2.05B,N.A,N.A,33.01,1.92%,498.39%,18.25,21.47B,375.05B,115.12%,107.01B,N.A,0.00,18.10,109.82B,17.30%,N.A
SRBANK NO,SPAREBANK 1 SR B,0.00,N.A,N.A,N.A,1.72%,487.03%,11.18,24.83B,255.89B,200.87%,120.95B,0.00,0.00,N.A,121.74B,41.88%,0.28%
SBANK NO,SBANKEN ASA,0.00,N.A,N.A,N.A,1.72%,467.64%,15.32,6.89B,93.01B,154.21%,32.20B,11.40B,0.00,N.A,37.60B,41.19%,-0.01%
MB IM,MEDIOBANCA,823.03M,N.A,N.A,179.10,2.03%,463.63%,8.20,10.34B,82.46B,211.14%,47.95B,N.A,0.00,12.83,47.09B,41.28%,N.A
DNB NO,DNB ASA,N.A,N.A,1.87k,N.A,1.72%,460.23%,13.37,242.26B,2.79T,167.23%,1.11T,N.A,0.00,18.60,960.69B,48.42%,0.11%
SAB SM,BANCO SABADELL,5.63B,N.A,N.A,121.35,1.93%,455.86%,17.25,12.97B,223.75B,102.30%,59.15B,7.80B,0.00,11.70,81.00B,0.55%,0.33%
BKIA SM,BANKIA SA,541.44M,N.A,94.43,87.38,1.13%,455.25%,15.58,13.34B,208.47B,96.69%,60.71B,11.98B,0.00,13.02,77.63B,8.82%,0.45%
UCG IM,UNICREDIT SPA,3.37B,N.A,4.25,179.49,1.39%,442.42%,14.84,61.79B,855.65B,106.60%,273.35B,N.A,0.00,13.09,378.72B,13.54%,N.A
SOR NO,SPAREBANKEN SOR,0.00,N.A,N.A,N.A,1.57%,437.22%,11.03,13.08B,129.50B,184.13%,57.19B,N.A,0.00,N.A,71.28B,58.98%,N.A
BKT SM,BANKINTER,3.31B,N.A,N.A,79.85,1.66%,434.74%,17.53,4.80B,83.73B,107.18%,20.87B,5.34B,0.00,11.61,33.77B,27.46%,0.38%
MORG NO,SPAREBANKEN MORE,N.A,N.A,N.A,N.A,1.88%,427.43%,11.73,6.97B,74.88B,174.68%,29.79B,N.A,0.00,N.A,32.14B,54.87%,0.04%
UBI IM,UBI BANCA SPA,251.20M,N.A,1.61,158.68,1.50%,395.66%,13.57,9.55B,126.53B,120.83%,37.77B,N.A,0.00,12.29,58.60B,15.59%,N.A
VAKBN TI,VAKIBANK,N.A,N.A,N.A,587.73,3.60%,373.00%,13.00,32.00B,398.91B,123.97%,119.38B,N.A,0.00,N.A,297.58B,21.03%,N.A
VMUK LN,VIRGIN MONEY UK,2.66B,N.A,N.A,N.A,2.64%,368.59%,18.19,5.02B,91.00B,114.78%,18.51B,0.00,0.00,13.30,24.05B,-33.29%,N.A
CBOM RM,CREDIT BANK OF M,71.64B,N.A,N.A,N.A,2.24%,349.12%,11.07,199.07B,2.18T,60.88%,695.00B,N.A,0.00,10.70,1.49T,77.92%,N.A
BPE IM,BPER BANCA,379.58M,N.A,N.A,N.A,1.61%,344.21%,15.79,5.29B,79.03B,105.88%,18.21B,N.A,0.00,12.01,34.72B,-20.34%,N.A
BBVA SM,BBVA,26.40B,N.A,109.00,79.27,3.18%,341.50%,14.15,54.93B,698.69B,102.88%,187.57B,N.A,0.00,11.74,364.45B,33.47%,0.97%
INGA NA,ING GROEP NV,32.66B,N.A,8.00,99.31,1.78%,325.94%,16.91,54.66B,891.74B,107.27%,178.17B,N.A,0.00,14.57,326.50B,30.11%,N.A
QNBFB TI,QNB FINASBANK AS,N.A,N.A,N.A,N.A,5.65%,323.26%,11.26,16.77B,187.53B,118.92%,54.20B,N.A,0.00,N.A,160.49B,33.48%,N.A
HALKB TI,HALKBANK,N.A,N.A,N.A,N.A,3.05%,319.40%,14.80,32.20B,468.63B,104.23%,102.84B,N.A,0.00,N.A,338.98B,30.53%,N.A
LLOY LN,LLOYDS BANKING,3.25B,N.A,863.00,104.51,1.51%,319.06%,20.10,47.81B,833.89B,107.74%,152.53B,25.09B,0.00,13.80,203.43B,33.10%,N.A
RBI AV,RAIFFEISEN BANK,7.59B,N.A,0.02,56.72,2.86%,316.69%,13.32,13.34B,152.20B,113.20%,42.26B,N.A,0.00,13.90,77.96B,32.33%,N.A
ISP IM,INTESA SANPAOLO,4.18B,N.A,10.00,179.48,0.94%,276.37%,16.28,56.21B,816.10B,93.77%,155.36B,N.A,0.00,14.10,298.50B,29.34%,N.A
MING NO,SPAREBANK 1 SMN,N.A,N.A,N.A,N.A,1.79%,266.71%,9.13,20.42B,166.66B,146.98%,54.46B,N.A,0.00,N.A,91.96B,34.59%,0.04%
CABK SM,CAIXABANK SA,9.50B,N.A,N.A,87.57,1.89%,257.10%,16.16,25.15B,391.41B,103.22%,64.66B,0.00,0.00,12.00,147.88B,20.66%,N.A
FBAVP BB,BNP PARIBAS FORT,11.07B,N.A,N.A,59.33,2.18%,251.30%,13.83,27.02B,319.81B,94.87%,67.89B,0.00,0.00,N.A,137.00B,28.89%,N.A
CESP CP,CESKA SPORITELNA,99.69B,N.A,382.00,N.A,2.11%,250.27%,12.57,133.97B,1.57T,68.67%,335.29B,N.A,0.00,N.A,571.50B,52.05%,N.A
YKBNK TI,YAPI KREDI,-168.60M,N.A,N.A,448.97,4.92%,246.33%,9.93,41.19B,411.20B,109.75%,101.47B,N.A,0.00,N.A,326.75B,6.01%,N.A
