Indicator ID,Total,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LiabilitiesAndStockholdersEquity,157539,245,6886,6877,6831,6747,6439,6056,5805,5389,1238
Assets,157329,245,6893,6896,6814,6734,6419,6032,5793,5376,1241
StockholdersEquity,144753,213,6270,6312,6243,6197,5931,5599,5344,4984,1158
NetIncomeLoss,143622,213,6131,6246,6150,6163,5894,5545,5345,5006,1181
CashAndCashEquivalentsAtCarryingValue,141747,235,6184,6194,6161,6099,5835,5460,5247,4780,1054
RetainedEarningsAccumulatedDeficit,139038,229,5675,5716,5672,6014,5929,5608,5355,5014,1134
CommonStockSharesAuthorized,135495,211,5934,5963,5894,5828,5524,5196,4952,4630,1033
CommonStockValue,130050,207,5762,5644,5575,5582,5314,5017,4789,4465,995
CommonStockSharesIssued,129840,200,5688,5687,5649,5599,5308,4976,4738,4417,1018
CommonStockParOrStatedValuePerShare,125778,190,5494,5522,5481,5430,5145,4845,4601,4278,940
CashAndCashEquivalentsPeriodIncreaseDecrease,125556,233,5904,5799,5738,5721,5482,5074,4689,2913,299
PropertyPlantAndEquipmentNet,124086,217,5322,5380,5335,5312,5077,4767,4604,4339,1009
LiabilitiesCurrent,121815,239,5266,5316,5285,5227,4956,4682,4481,4192,961
AssetsCurrent,121704,238,5281,5319,5266,5205,4949,4672,4481,4193,964
Liabilities,121242,141,5038,5054,5120,5161,4989,4793,4648,4385,1085
CommonStockSharesOutstanding,119247,155,5057,5165,5150,5142,4911,4636,4412,4145,976
NetCashProvidedByUsedInOperatingActivities,119190,233,6129,5954,5304,4193,3701,3407,4503,5098,1208
OperatingIncomeLoss,117819,194,4938,5038,4993,5000,4832,4647,4490,4191,950
NetCashProvidedByUsedInFinancingActivities,116544,233,5972,5822,5170,4087,3584,3311,4429,5053,1187
IncomeTaxExpenseBenefit,115974,210,4681,4831,4929,5003,4816,4609,4474,4163,942
AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,107835,128,2429,4979,4960,4934,4739,4473,4318,4049,936
NetCashProvidedByUsedInInvestingActivities,106305,213,5477,5301,4691,3656,3219,3006,4081,4660,1131
ShareBasedCompensation,104361,191,4287,4400,4408,4437,4291,4119,3983,3767,904
InterestExpense,101175,146,4425,4535,4488,4424,4137,3862,3645,3357,706
PropertyPlantAndEquipmentGross,98631,116,1935,4547,4541,4557,4398,4131,4001,3772,879
PaymentsToAcquirePropertyPlantAndEquipment,96498,163,4166,4132,4076,4092,3940,3722,3611,3424,840
WeightedAverageNumberOfSharesOutstandingBasic,94548,185,3891,4273,4141,4120,3912,3649,3497,3219,629
AccumulatedOtherComprehensiveIncomeLossNetOfTax,94128,193,3967,3981,3960,3997,3893,3727,3602,3338,718
PreferredStockSharesAuthorized,93960,151,3884,4093,4074,4035,3853,3638,3520,3303,769
AccountsPayableCurrent,92019,195,3886,3961,3944,3921,3762,3583,3420,3242,759
DeferredTaxAssetsValuationAllowance,91263,71,1187,3885,4241,4315,4188,4047,3943,3706,838
ComprehensiveIncomeNetOfTax,90294,107,2870,3897,3967,3977,3906,3726,3573,3335,740
EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,89775,75,1326,3938,4023,4063,3993,3845,4046,3763,853
DeferredIncomeTaxExpenseBenefit,89622,194,3350,3918,3899,3888,3754,3561,3450,3177,683
WeightedAverageNumberOfDilutedSharesOutstanding,89184,180,3622,3964,3851,3856,3686,3490,3349,3118,612
EarningsPerShareBasic,89178,211,3830,3929,3859,3829,3685,3447,3298,3057,581
OperatingLeasesFutureMinimumPaymentsDueInTwoYears,88248,82,1539,4034,4104,4162,4059,3913,3761,3493,269
OperatingLeasesFutureMinimumPaymentsDueCurrent,88125,83,1537,4060,4137,4157,4049,3885,3736,3474,257
OperatingLeasesFutureMinimumPaymentsDueInThreeYears,85386,82,1531,3906,3936,4040,3940,3766,3636,3370,255
EarningsPerShareDiluted,85056,209,3639,3706,3628,3630,3515,3313,3185,2968,559
DeferredTaxAssetsGross,82134,68,1182,3648,3707,3748,3690,3568,3530,3386,851
OperatingLeasesFutureMinimumPaymentsDue,81573,70,1295,3671,3769,3872,3780,3642,3518,3312,262
OperatingLeasesFutureMinimumPaymentsDueInFourYears,80925,81,1517,3676,3734,3820,3712,3569,3443,3192,231
PreferredStockParOrStatedValuePerShare,80538,123,3282,3453,3496,3462,3337,3150,3029,2849,665
AccountsReceivableNetCurrent,78540,138,3353,3394,3368,3378,3201,3049,2950,2762,587
IncreaseDecreaseInAccountsReceivable,78114,136,3360,3388,3368,3353,3202,3041,2909,2710,571
OtherAssetsNoncurrent,77694,198,3213,3262,3274,3323,3202,3047,2966,2793,620
InterestPaid,76956,102,3597,3891,3830,3792,3663,3432,2299,946,100
AdditionalPaidInCapital,76929,99,3333,3412,3459,3392,3042,2882,2778,2649,597
OperatingExpenses,76746,94,3129,3272,3314,3365,3211,2981,2879,2718,619
Depreciation,76158,92,2062,3331,3385,3425,3322,3169,3064,2884,652
GeneralAndAdministrativeExpense,75003,77,3167,3217,3231,3245,3101,2936,2800,2587,640
OperatingLeasesFutureMinimumPaymentsDueInFiveYears,74292,79,1464,3356,3411,3486,3401,3274,3163,2924,206
DeferredTaxAssetsOperatingLossCarryforwards,74025,45,913,3299,3393,3449,3378,3250,3201,3053,694
CurrentIncomeTaxExpenseBenefit,73566,84,1503,3390,3396,3384,3261,3100,2998,2790,616
CurrentFederalTaxExpenseBenefit,73401,90,1458,3290,3308,3405,3311,3161,3065,2804,575
Goodwill,73341,168,2883,3054,3078,3165,3125,2958,2844,2637,535
CurrentStateAndLocalTaxExpenseBenefit,72855,87,1432,3297,3296,3348,3276,3134,3007,2820,588
DeferredFederalIncomeTaxExpenseBenefit,71994,85,1375,3179,3215,3313,3253,3135,3046,2806,591
DepreciationDepletionAndAmortization,71685,90,2757,3106,3095,3083,3011,2859,2756,2575,563
OperatingLeasesFutureMinimumPaymentsDueThereafter,70014,76,1402,3102,3168,3296,3231,3092,2994,2781,196
DeferredTaxAssetsNet,69570,73,1474,3212,3137,3210,3065,2897,2830,2676,616
Revenues,68985,78,2771,2967,3014,3002,2855,2664,2660,2557,427
DeferredTaxAssetsOther,67305,73,1217,3024,3035,3076,3033,2897,2805,2674,601
EffectiveIncomeTaxRateContinuingOperations,67059,71,1131,2888,2977,3049,3012,2908,2904,2780,633
IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,65991,190,3522,3388,3146,2945,2467,2152,2008,1802,377
PreferredStockSharesIssued,65970,129,2503,2562,2738,2845,2859,2735,2622,2404,593
UnrecognizedTaxBenefits,65925,92,1450,2856,2961,3053,2929,2835,2727,2529,543
IncreaseDecreaseInInventories,65490,166,2817,2852,2804,2797,2672,2519,2441,2287,475
AmortizationOfIntangibleAssets,65373,67,1478,2856,3010,3023,2881,2826,2685,2484,481
InventoryNet,65178,171,2814,2837,2798,2791,2666,2496,2414,2256,483
DeferredStateAndLocalIncomeTaxExpenseBenefit,64908,74,1231,2836,2884,3004,2961,2853,2744,2526,523
IncreaseDecreaseInAccountsPayable,62595,119,2707,2738,2677,2671,2558,2428,2273,2179,515
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,62364,35,926,2889,2886,2899,2806,2709,2620,2467,551
AccruedLiabilitiesCurrent,61968,114,2525,2655,2656,2719,2538,2430,2321,2147,551
AdditionalPaidInCapitalCommonStock,61650,116,2691,2608,2496,2536,2594,2481,2370,2166,492
FiniteLivedIntangibleAssetsAccumulatedAmortization,61461,67,1333,2695,2738,2791,2751,2654,2593,2418,447
OtherLiabilitiesNoncurrent,61332,175,2419,2508,2548,2612,2565,2494,2411,2247,465
